"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-14,45,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,20,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,21,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,22,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-14,45,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,7,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,7,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,10,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,10,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,11,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,11,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,22,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-15,46,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-15,46,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,0,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-16,47,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-16,47,5,"dawn","timelapse",6,0,0
